metric_type,date,channel,value,is_outlier
revenue,2023-01-01,,56059.52,False
revenue,2023-01-02,,54097.4,False
revenue,2023-01-03,,50777.62,False
revenue,2023-01-04,,49202.58,False
revenue,2023-01-05,,60196.78,False
revenue,2023-01-06,,56998.14,False
revenue,2023-01-07,,65962.08,False
revenue,2023-01-08,,59004.64,False
revenue,2023-01-09,,52943.73,False
revenue,2023-01-10,,49697.19,False
revenue,2023-01-11,,51251.12,False
revenue,2023-01-12,,60252.42,False
revenue,2023-01-13,,55748.79,False
revenue,2023-01-14,,61625.79,False
revenue,2023-01-15,,60230.01,False
revenue,2023-01-16,,56959.74,False
revenue,2023-01-17,,59872.95,False
revenue,2023-01-18,,56304.83,False
revenue,2023-01-19,,55789.71,False
revenue,2023-01-20,,55905.56,False
revenue,2023-01-21,,69498.45,False
revenue,2023-01-22,,58643.17,False
revenue,2023-01-23,,57725.34,False
revenue,2023-01-24,,76535.46,False
revenue,2023-01-25,,53615.03,False
revenue,2023-01-26,,66803.56,False
revenue,2023-01-27,,55106.44,False
revenue,2023-01-28,,58208.2,False
revenue,2023-01-29,,61344.56,False
revenue,2023-01-30,,62182.7,False
revenue,2023-01-31,,55279.35,False
revenue,2023-02-01,,61274.37,False
revenue,2023-02-02,,56508.92,False
revenue,2023-02-03,,59577.58,False
revenue,2023-02-04,,64592.37,False
revenue,2023-02-05,,64780.84,False
revenue,2023-02-06,,57546.97,False
revenue,2023-02-07,,59283.98,False
revenue,2023-02-08,,68979.88,False
revenue,2023-02-09,,60422.95,False
revenue,2023-02-10,,60497.01,False
revenue,2023-02-11,,62994.55,False
revenue,2023-02-12,,61642.6,False
revenue,2023-02-13,,66724.66,False
revenue,2023-02-14,,62361.45,False
revenue,2023-02-15,,67489.72,False
revenue,2023-02-16,,71817.57,False
revenue,2023-02-17,,58781.43,False
revenue,2023-02-18,,72254.25,False
revenue,2023-02-19,,70711.68,False
revenue,2023-02-20,,61455.04,False
revenue,2023-02-21,,65364.76,False
revenue,2023-02-22,,67175.74,False
revenue,2023-02-23,,72682.8,False
revenue,2023-02-24,,61657.57,False
revenue,2023-02-25,,69867.31,False
revenue,2023-02-26,,76313.86,False
revenue,2023-02-27,,67858.73,False
revenue,2023-02-28,,60123.01,False
