period,period_start,channel,spend,revenue,roas
month,2023-01-01,affiliate,970939.2000000026,56917030.84999996,58.62059215448279
month,2023-01-01,display,1472218.5000000037,56917030.84999996,38.66072247427934
month,2023-01-01,email,487381.7999999994,56917030.84999996,116.7811987439827
month,2023-01-01,paid_search,2971645.7999999938,56917030.84999996,19.15336977576536
month,2023-01-01,paid_social,2483107.2000000086,56917030.84999996,22.92169699721372
month,2023-01-01,tv,1939641.8999999946,56917030.84999996,29.344092252286423
month,2023-02-01,affiliate,968543.149999998,56740373.48999973,58.58321695837696
month,2023-02-01,display,1465012.0199999907,56740373.48999973,38.730312594977946
month,2023-02-01,email,481455.6500000014,56740373.48999973,117.85171383906193
month,2023-02-01,paid_search,2947019.3900000025,56740373.48999973,19.253478169344408
month,2023-02-01,paid_social,2458596.4600000014,56740373.48999973,23.07835971178438
month,2023-02-01,tv,1929526.6100000124,56740373.48999973,29.406370037052437
month,2023-03-01,affiliate,1176246.920000002,69478787.67999959,59.06819945594371
month,2023-03-01,display,1770343.0599999966,69478787.67999959,39.24594574341977
month,2023-03-01,email,599058.4299999984,69478787.67999959,115.97998492400778
month,2023-03-01,paid_search,3629543.249999992,69478787.67999959,19.14257053694008
month,2023-03-01,paid_social,2991378.9399999897,69478787.67999959,23.226341120125632
month,2023-03-01,tv,2411239.4400000013,69478787.67999959,28.81455343149146
month,2023-04-01,affiliate,1100238.6000000027,61438952.82999998,55.841480956948644
month,2023-04-01,display,1642009.4999999995,61438952.82999998,37.41692897026479
month,2023-04-01,email,550241.6999999977,61438952.82999998,111.6581182960147
month,2023-04-01,paid_search,3283780.499999998,61438952.82999998,18.709823275337683
month,2023-04-01,paid_social,2759749.200000006,61438952.82999998,22.26251314068679
month,2023-04-01,tv,2182336.2000000044,61438952.82999998,28.152835860029203
month,2023-05-01,affiliate,1104215.699999997,58363664.35999997,52.855311113580555
month,2023-05-01,display,1637594.6999999925,58363664.35999997,35.63987130637406
month,2023-05-01,email,540728.1000000011,58363664.35999997,107.93532712651673
month,2023-05-01,paid_search,3309214.5000000037,58363664.35999997,17.636712385975557
month,2023-05-01,paid_social,2739294.600000002,58363664.35999997,21.306092583105126
month,2023-05-01,tv,2166519.600000004,58363664.35999997,26.938904388402424
month,2023-06-01,affiliate,999326.6999999946,49680961.98999991,49.71443471889641
month,2023-06-01,display,1481065.2000000016,49680961.98999991,33.54407489285405
month,2023-06-01,email,492118.80000000057,49680961.98999991,100.95318851870698
month,2023-06-01,paid_search,2950543.500000018,49680961.98999991,16.837901895023613
month,2023-06-01,paid_social,2500590.2999999872,49680961.98999991,19.867693636178693
month,2023-06-01,tv,1963346.100000002,49680961.98999991,25.304230359588594
month,2023-07-01,affiliate,925981.7999999984,44554638.06000016,48.11610558652474
month,2023-07-01,display,1395483.2999999952,44554638.06000016,31.927747225638825
month,2023-07-01,email,478014.30000000336,44554638.06000016,93.20775144174524
month,2023-07-01,paid_search,2769895.8000000045,44554638.06000016,16.085311967331076
month,2023-07-01,paid_social,2355275.0999999936,44554638.06000016,18.916957114691307
month,2023-07-01,tv,1832150.4000000062,44554638.06000016,24.318220851301295
